,Model,Colour,Memory,RAM,Battery,Rear_camera_mp,Front_Camera_mp,AI_Lens,Mobile_Height,Processor,Price
201,REDMI Note 12 Pro 5G,Stardust Purple,256,8,5000,50MP,16MP,False,16.94,Mediatek Dimensity 1080,26999.0
202,REDMI Note 12 Pro 5G,Stardust Purple,128,6,5000,50MP,16MP,False,16.94,Mediatek Dimensity 1080,23999.0
203,realme C31,Light Silver,64,4,5000,13MP,5MP,False,16.56,Unisoc T612,8749.0
204,POCO X5 Pro 5G,Horizon Blue,128,6,5000,108MP,16MP,False,16.94,Qualcomm Snapdragon 778G,21999.0
205,Infinix Zero 5G 2023,Submariner Black,128,8,5000,50MP,16MP,False,16.71,Mediatek Dimensity 920,15999.0
206,POCO X4 Pro 5G,Yellow,128,6,5000,64MP,16MP,False,16.94,Qualcomm Snapdragon 695 5G,17499.0
207,MOTOROLA g82 5G,Meterorite Grey,128,8,5000,50MP,16MP,False,16.76,Qualcomm Snapdragon 695 5G,21499.0
208,realme 9i 5G,Metallica Gold,64,4,5000,50MP,8MP,False,16.76,Mediatek Dimensity 810 5G,14999.0
209,REDMI Note 12 Pro+ 5G,Iceberg Blue,256,8,4980,200MP,16MP,False,16.94,Mediatek Dimensity 1080,29999.0
210,vivo T1 44W,Midnight Galaxy,128,8,5000,50MP,16MP,False,16.36,Qualcomm Snapdragon 680,17999.0
211,vivo T1 44W,Ice Dawn,128,8,5000,50MP,16MP,False,16.36,Qualcomm Snapdragon 680,17999.0
212,vivo T1 44W,Starry Sky,128,6,5000,50MP,16MP,False,16.36,Qualcomm Snapdragon 680,15999.0
213,vivo T1 44W,Midnight Galaxy,128,4,5000,50MP,16MP,False,16.36,Qualcomm Snapdragon 680,14499.0
214,vivo T1 44W,Ice Dawn,128,6,5000,50MP,16MP,False,16.36,Qualcomm Snapdragon 680,15999.0
215,MOTOROLA g82 5G,White Lily,128,8,5000,50MP,16MP,False,16.76,Qualcomm Snapdragon 695 5G,21499.0
216,MOTOROLA g31,Baby Blue,128,6,5000,50MP,13MP,False,16.26,Mediatek Helio G85,12999.0
217,REDMI Note 12 Pro+ 5G,Obsidian Black,256,8,4980,200MP,16MP,False,16.94,Mediatek Dimensity 1080,29999.0
218,realme narzo 50i Prime,Mint Green,32,3,5000,8MP,5MP,False,16.51,Unisoc Tiger T612 (12 nm),7115.0
219,MOTOROLA e13,Aurora Green,64,2,5000,13MP,5MP,False,16.51,Unisoc T606,6799.0
220,REDMI Note 12 Pro 5G,Glacier Blue,128,6,5000,50MP,16MP,False,16.94,Mediatek Dimensity 1080,23999.0
221,vivo T1 44W,Starry Sky,128,4,5000,50MP,16MP,False,16.36,Qualcomm Snapdragon 680,14499.0
222,SAMSUNG Galaxy S22 Plus 5G,Phantom Black,128,8,4500,50MP,10MP,False,16.76,Qualcomm Snapdragon 8 Gen 1,13499.0
223,Infinix Zero 5G 2023,Pearly White,128,8,5000,50MP,16MP,False,16.71,Mediatek Dimensity 920,15999.0
224,POCO X5 Pro 5G,Yellow,256,8,5000,108MP,16MP,False,16.94,Qualcomm Snapdragon 778G,23999.0
225,vivo V27 5G,Noble Black,128,8,4600,50MP,50MP,False,16.71,Mediatek Dimensity 7200 5G,13499.0
226,realme Narzo 50,Speed Blue,64,4,5000,50MP,16MP,False,16.76,Mediatek Helio G96,12999.0
227,Infinix HOT 20 Play,Fantasy Purple,64,4,6000,13MP,8MP,True,16.71,MediaTek G37,8499.0
228,Infinix HOT 20 Play,Aurora Green,64,4,6000,13MP,8MP,True,16.71,MediaTek G37,8499.0
229,Infinix HOT 20 Play,Luna Blue,64,4,6000,13MP,8MP,True,16.71,MediaTek G37,8499.0
230,Infinix HOT 20 Play,Racing Black,64,4,6000,13MP,8MP,True,16.71,MediaTek G37,8499.0
231,realme Narzo 50,Speed Blue,128,6,5000,50MP,16MP,False,16.76,Mediatek Helio G96,12999.0
232,POCO X5 5G,Supernova Green,256,8,5000,48MP,13MP,False,16.94,Qualcomm Snapdragon 695,17999.0
233,MOTOROLA g52,Charcoal Grey,128,6,5000,50MP,16MP,False,16.76,Qualcomm Snapdragon 680,13999.0
234,vivo T1 44W,Starry Sky,128,8,5000,50MP,16MP,False,16.36,Qualcomm Snapdragon 680,17999.0
235,vivo T1 44W,Midnight Galaxy,128,6,5000,50MP,16MP,False,16.36,Qualcomm Snapdragon 680,15999.0
236,realme Narzo 50,Speed Black,128,6,5000,50MP,16MP,False,16.76,Mediatek Helio G96,12999.0
237,OPPO A17k,Blue,64,3,5000,8MP,5MP,False,16.66,Mediatek Helio P35,9499.0
238,REDMI Note 12 Pro 5G,Stardust Purple,128,8,5000,50MP,16MP,False,16.94,Mediatek Dimensity 1080,25999.0
239,vivo V27 5G,Magic Blue,128,8,4600,50MP,50MP,False,16.71,Mediatek Dimensity 7200 5G,13499.0
240,realme C25s,Watery Blue,128,4,6000,13MP,8MP,False,16.51,MediaTek Helio G85,10999.0
241,Infinix Zero 5G 2023,Coral Orange,128,8,5000,50MP,16MP,False,16.71,Mediatek Dimensity 920,15999.0
242,POCO F5 5G,Snowstorm White,256,8,5000,64MP,16MP,False,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),29999.0
243,redmi max,M3),16,2,5000,13MP,5MP,False,16.71,Octa Core,4999.0
244,redmi max,M3),16,8,1200,2MP,0MP,False,16.71,MT6260A,3549.0
245,redmi mono,M3),16,4,1000,0MP,0MP,False,16.71,MTK6261D,1699.0
246,redmi min,M3),16,4,1000,0MP,0MP,False,16.71,Spreadtrum,920.0
247,redmi min,M3),16,4,1000,0MP,0MP,False,16.71,Spreadtrum,920.0
248,REDMI 10,Midnight Black,128,6,6000,50MP,5MP,False,17.02,Qualcomm Snapdragon 680,10999.0
249,OPPO A17,Lake Blue,64,4,5000,50MP,5MP,False,16.66,Mediatek Helio G35,11970.0
250,micromax,Lake Blue,64,4,1500,0MP,0MP,False,16.71,Mediatek MT6261D,1199.0
251,REDMI Note 12,Sunrise Gold,128,6,5000,50MP,13MP,False,16.94,Snapdragon 685,16999.0
252,REDMI 11 Prime,Playful Green,128,6,5000,50MP,8MP,False,16.71,Helio G99,11999.0
253,REDMI Note 12 Pro 5G,Onyx Black,128,8,5000,50MP,16MP,False,16.94,Mediatek Dimensity 1080,25999.0
